Athlete,Meet Info,Lane_Place,Ath_Mt_Strd,Wind,Date,RT,10 m,20 m,30 m,40 m,50 m,60 m,70 m,80 m,90 m,100 m ,Time,0-30 m,30-60 m,60-90 m,,
"Abdel Wahed, Saif Raad (IRQ) (2002)","West Asian GP - 2025 Jetour Doha Meeting (Doha, QAT)",3 / 1,"Abdel Wahed, Saif Raad (IRQ) (2002)_West Asian GP - 2025 Jetour Doha Meeting (Doha, QAT)_48.7",1.4 m/s,16-May-25,0.161,1.87,2.96,3.91,4.81,5.71,6.59,7.47,8.37,9.26,10.22,10.22,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,NR,3.91,2.68,Omega Timing (2025) - diamond league race analysis,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,48.7,NULL,NULL,NULL,NULL,,,,,,,,,,,9.78,7.67,11.19,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,2.67,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,11.24,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
"Åberg, Oskar (SWE) (1989)","B FINAL - 2012 Windsprint (Sundsvall, SWE)",/ 3,NULL,1.0 m/s,17-Jun-12,NULL,,,4.08,,,6.9,,8.77,,10.71,10.71,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,4.08,2.82,(2012) - www.elitlandslag.se/SprintHäck/KortSprint.aspx,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,9.34,7.35,10.64,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
"Åberg, Oskar (SWE) (1989)","B FINAL - 2010 Windsprint (Sundsvall, SWE)",/ 1,NULL,1.8 m/s,08-Aug-10,NULL,,,4.04,,,6.85,,8.71,,10.64,10.64,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,4.04,2.81,(2010) - www.ssg.se/en/Windsprint/Split-times/,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,9.4,7.43,10.68,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
"Abeykoon, Yupun (SRI) (1994)","FINAL - 2024 Bauhaus Galan (Stockholm, SWE)",8 / 8,"Abeykoon, Yupun (SRI) (1994)_FINAL - 2024 Bauhaus Galan (Stockholm, SWE)_44.7",-1.0 m/s,02-Jun-24,NULL,1.95,3.02,3.98,4.9,5.8,6.69,7.58,8.5,9.5,10.63,10.63,,,,,
,NULL,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,
