,Athlete,Meet Info,Lane_Place,Wind,Date,RT,10 m,20 m,30 m,40 m,50 m,60 m,70 m,80 m,90 m,100 m ,Time,0-30 m,30-60 m,60-90 m,Unnamed: 21,Unnamed: 22,Stride Rate
0,"Abdel Wahed, Saif Raad (IRQ) (2002)","West Asian GP - 2025 Jetour Doha Meeting (Doha, QAT)",3 / 1,1.4 m/s,16-May-25,0.161,1.87,2.96,3.91,4.81,5.71,6.59,7.47,8.37,9.26,10.22,10.22,,,,,,48.7
34,"Abeykoon, Yupun (SRI) (1994)","FINAL - 2024 Bauhaus Galan (Stockholm, SWE)",8 / 8,-1.0 m/s,02-Jun-24,,1.95,3.02,3.98,4.9,5.8,6.69,7.58,8.5,9.5,10.63,10.63,,,,,,44.7
44,"Abeykoon, Yupun (SRI) (1994)","National FINAL - 2024 Bauhaus Galan (Stockholm, SWE)",6 / 1,-1.6 m/s,02-Jun-24,0.157,1.94,2.98,3.95,4.86,5.74,6.65,7.56,8.41,9.31,10.22,10.22,,,,,,
118,"Achi-Yao, Harold (FRA) (1997)","Regional FINAL - 2025 Meeting de Paris (Paris, FRA)",7 / 6,2.8 m/s,20-Jun-25,0.152,1.95,3.06,4.05,4.98,5.88,6.78,7.68,8.58,9.5,10.51,10.51,,,,,,
130,"Adam, Ibadulla (MDV) (2002)","Prelim 4 - 2024 Olympic Games (Paris, FRA)",5 / 5,0.2 m/s,03-Aug-24,0.161,1.92,3.01,3.98,4.92,5.82,6.72,7.65,8.6,9.57,10.55,10.55,,,,,,50
142,"Adigida, Onyema (NED) (2000)","National FINAL - 2024 London Athletics Meet (London, GBR)",7 / 8,2.1 m/s,20-Jul-24,0.171,1.99,3.09,4.07,5.0,5.91,6.8,7.69,8.59,9.5,10.43,10.43,,,,,,
152,"Adigida, Onyema (NED) (2000)","National - Heat 1 - 2023 FBK Games (Hengelo, NED)",7 / 8,0.1 m/s,04-Jun-23,0.187,1.99,3.08,4.07,5.03,5.95,6.87,7.79,8.72,9.66,10.65,10.65,,,,,,
186,"Abiko, Mitsuhiro (JPN) (1988)","Race 1 - 2014 Mikio Oda Memorial (Hiroshima, JPN)",5 / 7,1.3 m/s,29-Apr-14,,1.99,3.08,4.07,5.03,5.98,6.91,7.86,8.82,9.8,10.81,10.81,,,,,,49
198,"Adams, Harry (USA) (1989)","FINAL - 2015 Seiko Golden Grand Prix (Kawasaki, JPN)",4 / 4,-0.1 m/s,10-May-15,,1.92,2.98,3.92,4.82,5.71,6.59,7.48,8.37,9.28,10.22,10.22,,,,,,46
232,"Adeniken, Olapade (NGR) (1969)","Semi-Final 1 - 1988 Olympic Games (Seoul, KOR)",1 / 6,0.6 m/s,24-Sep-88,,1.99,3.06,4.02,4.92,5.82,6.7,7.6,8.51,9.42,10.33,10.33,,,,,,
244,"Adeyanju, Iziak (NGR) (1959)","Semi-Final 2 - 1988 Olympic Games (Seoul, KOR)",8 /  7  6,-1.2 m/s,24-Sep-88,,1.91,2.97,3.94,4.88,5.82,6.75,7.71,8.67,9.63,10.6,10.6,,,,,,
268,"Afrifa, Elvis (NED) (1997)","FINAL - 2025 European Athletics Indoor Championships (Apeldoorn, NED)",3 / 4,,08-Mar-25,0.157,1.89,2.94,3.88,4.79,5.67,6.55,,,,,6.55,,,,,,29.5
278,"Afrifa, Elvis (NED) (1997)","Semi-Final 1 - 2025 European Athletics Indoor Championships (Apeldoorn, NED)",2 / 2,,08-Mar-25,0.157,1.89,2.94,3.89,4.79,5.68,6.57,,,,,6.57,,,,,,
288,"Afrifa, Elvis (NED) (1997)","Invitational - 2024 Memorial van damme (Brussels, BEL)",2 / 6,0.0 m/s,14-Sep-24,0.143,1.94,3.02,4.01,4.95,5.88,6.8,7.71,8.64,9.57,10.52,10.52,,,,,,
300,"Agbo, Edem Schaanning (NOR) (1999)","National FINAL - 2025 Bislett Games (Oslo, NOR)",1 / 6,0.7 m/s,12-Jun-25,0.145,1.93,3.02,4.02,4.97,5.9,6.83,7.77,8.71,9.65,10.69,10.69,,,,,,
312,"Aguessy, William (BEN) (2001)","Regional FINAL - 2025 Meeting de Paris (Paris, FRA)",8 / 2,2.8 m/s,20-Jun-25,,1.85,2.92,3.87,4.79,5.67,6.56,7.45,8.35,9.26,10.25,10.25,,,,,,
324,Aiertamu Aizihaer (CHN) (2001),"National - Heat A - 2025 Xiamen Diamond League (Xiamen, CHN)",8 / 4,0.5 m/s,26-Apr-25,0.179,2.05,3.16,4.18,5.16,6.11,7.06,8.03,9.0,10.01,11.03,11.03,,,,,,
346,"Aikines-Aryeetey, Harry (GBR) (1988)","FINAL - 2020 New Balance Indoor Grand Prix (Boston, MA)",2 / 6,,25-Jan-19,,2.15,3.21,4.16,5.08,5.98,6.73,,,,,6.73,,,,,,31.5
388,Ailikuti Yishake (CHN) (2002),"FINAL - 2024 Chinese Indoor National Championships (Tianjin, CHN)",7 / 5,,29-Mar-24,0.151,1.97,2.99,3.95,4.87,5.77,6.7,,,,,6.7,,,,,,30
398,Ailikuti Yishake (CHN) (2002),"Semi-Final 1 - 2024 Chinese Indoor National Championships (Tianjin, CHN)",4 / 3,,29-Mar-24,0.144,1.95,2.98,3.96,4.86,5.76,6.7,,,,,6.7,,,,,,30
408,Ailikuti Yishake (CHN) (2002),"Heat 2 - 2024 Chinese Indoor National Championships (Tianjin, CHN)",6 / 1,,29-Mar-24,,2.01,3.04,4.0,4.92,5.83,6.75,,,,,6.75,,,,,,30
418,Ailikuti Yishake (CHN) (2002),"FINAL - 2024 Chinese Indoor Grand Prix III (Jinan, CHN)",5 / 4,,12-Mar-24,0.142,1.95,3.01,3.97,4.9,5.82,6.72,,,,,6.72,,,,,,30
428,Ailikuti Yishake (CHN) (2002),"Heat 12 - 2024 Chinese Indoor Grand Prix III (Jinan, CHN)",5 / 1,,12-Mar-24,0.146,1.96,3.01,3.97,4.87,5.78,6.69,,,,,6.69,,,,,,30
440,"Ajayi, Kayinsola (NGR) (2004)","Semi-Final 2 - 2024 Olympic Games (Paris, FRA)",6 / 6,0.0 m/s,04-Aug-24,0.106,1.89,2.94,3.88,4.78,5.67,6.55,7.43,8.32,9.23,10.13,10.13,,,,,,46
450,"Ajayi, Kayinsola (NGR) (2004)","Heat 5 - 2024 Olympic Games (Paris, FRA)",2 / 1,-0.3 m/s,03-Aug-24,0.151,1.9,2.95,3.89,4.78,5.65,6.51,7.37,8.23,9.11,10.02,10.02,,,,,,46
462,"Akinola, Bori (IRL) (2001)","Semi-Final 2 - 2025 European Athletics Indoor Championships (Apeldoorn, NED)",3 / 4,,08-Mar-25,0.128,1.91,2.96,3.91,4.83,5.73,6.63,,,,,6.63,,,,,,
474,"Akintan, Sunday Ogun (NGR) (2004)","Invitational FINAL - 2025 Jetour Doha Meeting (Doha, QAT)",4 / 1,1.1 m/s,16-May-25,0.147,1.78,2.8,3.72,4.61,5.48,6.36,7.24,8.13,9.03,10.01,10.01,,,,,,
498,"Al Abboodi, Fam (IRQ) (1992)","FINAL - West Asian Champioships - 2024 Seashore Doha Meeting (Doha, QAT)",6 / 3,3.8 m/s,10-May-24,0.152,1.99,3.06,4.03,4.95,5.84,6.74,7.64,8.55,9.48,10.42,10.42,,,,,,
510,"Al Awamleh, Zaid (JOR) (2002)","West Asian GP - 2025 Jetour Doha Meeting (Doha, QAT)",1 / 7,1.4 m/s,16-May-25,0.195,2.01,3.05,4.04,4.98,5.92,6.85,7.77,8.69,9.62,10.63,10.63,,,,,,48
