,Athlete,Meet Info,Lane_Place,Wind,Date,RT,50m,100m,150m,200m,Time,0-100m,100-200m,Differential,Vel_50m,Vel_100m,Vel_150m,Vel_200m,Vel_0_100m,Vel_100_200m,StrideRate,Source,Ath_Mt_Strd
1,"Abbas, Shajar (PAK) (2000)","FINAL - 2022 Commonwealth Games (Birmingham, GBR)",3 / 8,1.1 m/s,06-Aug-22,0.168,5.9,10.8,15.7,21.16,21.16,10.8,10.36,-0.44,8.47,10.2,10.2,9.16,9.26,9.65,88.0,Longines Timing (2022) - commonwealth games race analysis,"Abbas, Shajar (PAK) (2000)_FINAL - 2022 Commonwealth Games (Birmingham, GBR)_88"
2,"Abbas, Shajar (PAK) (2000)","Semi-Final 1 - 2022 Commonwealth Games (Birmingham, GBR)",5 / 3,2.1 m/s,05-Aug-22,0.174,5.9,10.8,15.7,20.89,20.89,10.8,10.09,-0.71,8.47,10.2,10.2,9.63,9.26,9.91,87.0,Longines Timing (2022) - commonwealth games race analysis,"Abbas, Shajar (PAK) (2000)_Semi-Final 1 - 2022 Commonwealth Games (Birmingham, GBR)_87"
3,"Åberg, Oskar (SWE) (1989)","B FINAL - 2012 Windsprint (Sundsvall, SWE)",/ 3,0.4 m/s,17-Jun-12,,11.01,21.63,21.63,3.0,3.0,21.63,-18.63,-40.26,9.08,4.62,9.25,9.08,4.62,,,(2012) - www.elitlandslag.se/SprintHäck/KortSprint.aspx,"Åberg, Oskar (SWE) (1989)_B FINAL - 2012 Windsprint (Sundsvall, SWE)"
4,"Åberg, Oskar (SWE) (1989)","D FINAL - 2007 Windsprint (Sundsvall, SWE)",2 / 1,0.5 m/s,24-Jul-07,,11.28,16.43,21.86,21.86,21.0,16.43,5.43,-11.0,8.87,9.71,9.21,9.15,6.09,18.42,,(2007) - www.ssg.se/en/Windsprint/Split-times/,"Åberg, Oskar (SWE) (1989)_D FINAL - 2007 Windsprint (Sundsvall, SWE)"
5,"Abrantes, Arnaldo (POR) (1986)","Quarter-Final 4 - 2007 IAAF World Championships (Osaka, JPN)",8 / 5,0.6 m/s,28-Aug-07,0.144,5.83,10.47,15.45,20.82,20.82,10.47,10.35,-0.12,8.58,10.78,10.04,9.31,9.55,9.66,88.0,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Abrantes, Arnaldo (POR) (1986)_Quarter-Final 4 - 2007 IAAF World Championships (Osaka, JPN)_88"
6,"Adam, Marcus (GBR) (1968)","FINAL - 1989 IAAF World Cup (Barcelona, ESP)",/ 5,1.9 m/s,10-Sep-89,0.162,10.56,15.45,20.67,20.67,5.0,15.45,5.22,-10.23,9.47,10.22,9.58,9.68,6.47,19.16,,,"Adam, Marcus (GBR) (1968)_FINAL - 1989 IAAF World Cup (Barcelona, ESP)"
7,"Adams, Harry (USA) (1989)","FINAL - 2015 USATF National Championships (Eugene, OR)",/ 8,1.3 m/s,28-Jun-15,,10.7,20.6,20.62,8.0,8.0,20.6,-12.6,-33.2,9.35,10.1,9.7,9.35,4.85,,,,"Adams, Harry (USA) (1989)_FINAL - 2015 USATF National Championships (Eugene, OR)"
8,"Adams, Luxolo (RSA) (1996)","Heat 1 - 2023 World Athletics Championships (Budapest, HUN)",5 / 3,0.0 m/s,23-Aug-23,0.149,10.57,20.15,20.15,53.0,53.0,20.15,32.85,12.7,9.46,10.44,9.93,89.0,4.96,3.04,89.0,Seiko Timing (2023) - world championship race analysis,"Adams, Luxolo (RSA) (1996)_Heat 1 - 2023 World Athletics Championships (Budapest, HUN)_89"
9,"Adams, Luxolo (RSA) (1996)","FINAL - 2023 Bislett Games (Oslo, NOR)",2 / 8,0.6 m/s,15-Jun-23,0.183,6.03,10.75,15.59,20.79,20.79,10.75,10.04,-0.71,8.29,10.59,10.33,9.62,9.3,9.96,90.0,Omega Timing (2023) - diamond league race analysis,"Adams, Luxolo (RSA) (1996)_FINAL - 2023 Bislett Games (Oslo, NOR)_90"
10,"Adams, Luxolo (RSA) (1996)","FINAL - 2022 World Athletics Championships (Eugene, OR)",1 / 8,0.4 m/s,21-Jul-22,0.118,10.51,20.47,20.47,18.0,18.0,20.47,-2.47,-22.94,9.51,10.04,9.77,90.5,4.89,,,Timing by Seiko (2022) - world athletics championships race analysis,"Adams, Luxolo (RSA) (1996)_FINAL - 2022 World Athletics Championships (Eugene, OR)"
